Plot_Number,Owner_Name,NRC_Number,Location,Plot_Size_sq_m,Land_Use,Title_Deed,Tenure,Registration_Date,Encumbrances,GPS_Coordinates,Ground_Rent_Status
NDL-1660,Lubuto Cooperative Group,512109/44/4,Itawa,936,Mixed Use,TDR-2008-6413,Leasehold (50 yrs),2022-01-04,None,"-12.977387,28.629469",Paid
NDL-1661,Nelson Mulilo,477087/19/5,Garden,5000,Industrial,TDR-2022-5339,Leasehold (99 yrs),2015-11-20,Boundary_Dispute,"-12.974679,28.643726",Paid
NDL-1662,Mercy Sichone,210639/44/8,Chililabombwe Road,3000,Industrial,TDR-2009-9732,Leasehold (50 yrs),2008-08-25,None,"-12.963693,28.644053",Paid
NDL-1663,Mulenga Phiri,478116/22/5,Railway Line,300,Residential,TDR-2005-4498,Leasehold (99 yrs),2007-07-19,None,"-12.994866,28.641184",Paid
NDL-1664,Central Agro Industrial,629876/27/1,Lubuto,20000,Industrial,TDR-2022-9450,Leasehold (50 yrs),2011-10-07,None,"-12.980192,28.647656",Paid
NDL-1665,Mukuka Ndalama,295749/14/7,Lubuto,8000,Industrial,TDR-2008-4552,Freehold,2023-08-09,None,"-12.990455,28.640708",Paid
NDL-1666,Lubuto Cooperative Enterprises,507705/23/3,Mapalo,555,Mixed Use,TDR-2024-5834,Freehold,2009-02-27,None,"-12.995733,28.650059",Paid
NDL-1667,Angela Tembo,144829/36/9,Town Centre,800,Commercial,TDR-2005-2056,Leasehold (65 yrs),2018-05-19,None,"-12.974947,28.643850",Paid
NDL-1668,Kansenshi Traders Co,668973/34/4,Town Centre,700,Residential,TDR-2024-1086,Leasehold (65 yrs),2020-05-27,None,"-12.972190,28.662713",Paid
NDL-1669,Nchimunya Chola,170602/33/6,Railway Line,956,Mixed Use,TDR-2005-9301,Freehold,2016-03-07,None,"-12.993703,28.621595",Paid
NDL-1670,James Lungu,859475/33/6,Chifubu,200,Residential,TDR-2022-4803,Leasehold (50 yrs),2006-08-29,None,"-12.977519,28.633703",Paid
NDL-1671,Mary Banda,190740/12/9,Ndeke,500,Residential,TDR-2009-3771,Leasehold (65 yrs),2008-09-01,Double_Allocation,"-12.992224,28.630859",Paid
NDL-1672,Nchimunya Mulenga,592798/50/3,Garden,3000,Agricultural,TDR-2010-2825,Leasehold (99 yrs),2015-12-09,None,"-12.990697,28.640202",Paid
NDL-1673,Mercy Lungu,432620/17/2,Itawa,250,Commercial,TDR-2023-9494,State Land,2011-08-11,None,"-12.983375,28.626091",Paid
NDL-1674,James Kaunda,364919/49/3,Garden,500,Residential,TDR-2014-4307,Freehold,2022-08-16,None,"-12.986193,28.659321",Paid
NDL-1675,Mulenga Ndalama,340026/42/1,Chipulukusu,483,Mixed Use,TDR-2017-6715,Leasehold (99 yrs),2012-08-24,Caveat,"-12.996963,28.631831",Paid
NDL-1676,Rose Zulu,916229/24/6,Twapia,20000,Industrial,TDR-2015-3074,State Land,2009-03-28,None,"-12.983476,28.636588",Arrears
NDL-1677,Simon Tembo,747496/31/7,Ndeke,500,Commercial,TDR-2011-8886,Leasehold (99 yrs),2014-11-30,Double_Allocation,"-12.966031,28.656718",Paid
NDL-1678,ZamBuild Resources,132204/34/7,Mapalo,800,Commercial,TDR-2009-6721,Freehold,2020-05-30,None,"-12.989927,28.626392",Paid
NDL-1679,Ndola Estate Ltd,490958/11/1,Twapia,1500,Commercial,TDR-2009-3451,Leasehold (65 yrs),2006-12-15,None,"-12.978192,28.664503",Paid
NDL-1680,James Mulilo,570887/34/6,Town Centre,472,Mixed Use,TDR-2014-2734,Leasehold (99 yrs),2009-06-02,Auctioned,"-12.988713,28.663976",Arrears
NDL-1681,Beatrice Kaluba,842167/15/4,Town Centre,2000,Agricultural,TDR-2014-2032,Freehold,2013-03-20,None,"-12.978671,28.626372",Paid
NDL-1682,Chanda Phiri,704877/41/5,Lubuto,621,Mixed Use,TDR-2009-7944,Leasehold (99 yrs),2005-12-29,None,"-12.986459,28.626478",Paid
NDL-1683,Victor Banda,292657/24/7,Itawa,862,Mixed Use,TDR-2014-5250,Freehold,2012-06-02,None,"-12.982622,28.627855",Paid
NDL-1684,Copperbelt Logistics Holdings,877066/41/1,Chifubu,20000,Industrial,TDR-2011-1187,Leasehold (65 yrs),2024-10-19,None,"-12.987345,28.630103",Paid
NDL-1685,Joseph Chola,424999/24/6,Chipulukusu,300,Residential,TDR-2010-9760,Leasehold (50 yrs),2011-06-21,None,"-12.969826,28.656801",Paid
NDL-1686,Kansenshi Traders PLC,885514/23/8,Twapia,3000,Agricultural,TDR-2024-7298,Leasehold (99 yrs),2012-02-09,None,"-12.972189,28.652542",Paid
NDL-1687,Samuel Chanda,855271/11/5,Chililabombwe Road,400,Commercial,TDR-2021-2780,Leasehold (99 yrs),2019-08-30,None,"-12.984415,28.658599",Paid
NDL-1688,Nchimunya Mumba,445908/23/8,Lubuto,700,Residential,TDR-2006-5633,Leasehold (50 yrs),2009-09-12,Mortgaged,"-12.973681,28.670492",Paid
NDL-1689,Chileshe Mulilo,465247/46/2,Lubuto,20000,Industrial,TDR-2019-6423,Leasehold (65 yrs),2008-05-10,None,"-12.960101,28.647631",Paid
NDL-1690,Memory Mwape,216156/23/5,Mapalo,20000,Industrial,TDR-2018-6149,Leasehold (99 yrs),2020-07-09,None,"-12.991864,28.649512",Paid
NDL-1691,Nchimunya Sitali,975988/16/9,Chililabombwe Road,10000,Industrial,TDR-2012-6257,Leasehold (99 yrs),2010-05-14,None,"-12.993293,28.636022",Paid
NDL-1692,Memory Mulenga,392060/48/6,Chililabombwe Road,8000,Agricultural,TDR-2022-6695,Freehold,2011-11-28,None,"-12.995649,28.671161",Paid
NDL-1693,James Chola,864323/28/1,Mushili,250,Residential,TDR-2019-5340,Freehold,2014-09-19,Double_Allocation,"-12.997455,28.623433",Paid
NDL-1694,Moses Zulu,471224/23/7,Masala,3000,Industrial,TDR-2024-6427,Leasehold (50 yrs),2018-12-10,None,"-12.995528,28.636545",Paid
NDL-1695,Rose Phiri,673910/36/4,Chifubu,1000,Residential,TDR-2024-8032,Leasehold (65 yrs),2014-07-19,None,"-12.975003,28.634109",Paid
NDL-1696,Moses Mulilo,984449/49/1,Masala,10000,Industrial,TDR-2012-6142,Leasehold (50 yrs),2014-12-28,None,"-12.994857,28.664672",Paid
NDL-1697,Linda Banda,366005/24/9,Mushili,1655,Mixed Use,TDR-2021-1813,Leasehold (50 yrs),2010-09-29,None,"-12.981421,28.654654",Paid
NDL-1698,Brian Mulilo,819394/37/7,Twapia,20000,Industrial,TDR-2005-3745,Leasehold (65 yrs),2013-08-14,None,"-12.970982,28.648298",Arrears
NDL-1699,Chileshe Chanda,495211/31/7,Town Centre,957,Mixed Use,TDR-2008-6367,State Land,2010-05-11,None,"-12.979189,28.669938",Paid
NDL-1700,Grace Mulilo,855704/27/8,Kitwe Road,1200,Commercial,TDR-2008-3272,Leasehold (99 yrs),2022-06-26,None,"-12.974043,28.643881",Paid
NDL-1701,Moses Kapasa,451238/49/9,Mushili,627,Mixed Use,TDR-2020-3415,Leasehold (65 yrs),2017-05-03,None,"-12.977705,28.664781",Paid
NDL-1702,George Chola,591896/33/1,Ndeke,1500,Commercial,TDR-2021-4614,Leasehold (99 yrs),2022-02-06,None,"-12.987492,28.622472",Arrears
NDL-1703,Samuel Sitali,303479/32/1,Chipulukusu,300,Commercial,TDR-2020-3549,State Land,2009-01-10,Auctioned,"-12.993371,28.620346",Paid
NDL-1704,Memory Kaluba,744296/49/5,Lubuto,10000,Agricultural,TDR-2015-1207,Leasehold (99 yrs),2012-03-02,None,"-12.990698,28.627429",Arrears
NDL-1705,Samuel Mwanza,760628/25/7,Ndeke,2000,Industrial,TDR-2016-8660,Leasehold (50 yrs),2018-01-10,None,"-12.978402,28.625564",Paid
NDL-1706,Victor Ndalama,998877/15/5,Kabushi,3000,Industrial,TDR-2013-2242,State Land,2005-03-22,None,"-12.975181,28.638066",Paid
NDL-1707,David Mwanza,173461/32/1,Mushili,10000,Agricultural,TDR-2018-3048,Freehold,2022-01-04,None,"-12.980740,28.620902",Paid
NDL-1708,Mukuka Zulu,450969/12/9,Mushili,991,Mixed Use,TDR-2006-6642,Leasehold (99 yrs),2016-06-13,None,"-12.973831,28.627264",Paid
NDL-1709,Patrick Chola,488398/39/5,Twapia,8000,Agricultural,TDR-2008-4128,Leasehold (99 yrs),2021-06-12,Boundary_Dispute,"-12.988680,28.633774",Paid
NDL-1710,Brian Zulu,165751/41/9,Town Centre,5000,Agricultural,TDR-2015-6171,Leasehold (50 yrs),2012-10-11,None,"-12.961799,28.663799",Paid
NDL-1711,Victor Sitali,568860/14/4,Kansenshi,200,Residential,TDR-2014-3890,Leasehold (65 yrs),2023-10-22,None,"-12.995234,28.674368",Paid
NDL-1712,David Kapasa,931867/42/8,Mushili,5000,Industrial,TDR-2024-9440,Leasehold (65 yrs),2017-01-15,None,"-12.962590,28.673951",Paid
NDL-1713,James Phiri,152567/32/9,Chililabombwe Road,3000,Agricultural,TDR-2013-8190,Leasehold (65 yrs),2006-09-23,None,"-12.967306,28.659317",Arrears
NDL-1714,Angela Mwanza,603965/10/6,Ndeke,250,Commercial,TDR-2023-6379,State Land,2015-09-18,None,"-12.984061,28.638056",Paid
NDL-1715,Faith Ndalama,946918/49/1,Mushili,500,Residential,TDR-2014-1272,State Land,2016-07-17,None,"-12.969379,28.669321",Arrears
NDL-1716,George Ndalama,703942/12/3,Northrise,20000,Industrial,TDR-2010-5882,Leasehold (50 yrs),2016-03-23,None,"-12.996644,28.636845",Paid
NDL-1717,Nelson Zulu,374180/27/9,Industrial Area,1219,Mixed Use,TDR-2009-3650,Freehold,2014-01-10,Double_Allocation,"-12.975219,28.629714",Paid
NDL-1718,Samuel Phiri,807908/48/7,Mapalo,5000,Industrial,TDR-2020-2729,Leasehold (50 yrs),2010-05-28,Auctioned,"-12.992349,28.648986",Arrears
NDL-1719,Rose Mulilo,664846/11/1,Kitwe Road,2000,Industrial,TDR-2021-7150,Leasehold (65 yrs),2021-11-29,None,"-12.967300,28.632502",Paid
NDL-1720,Samuel Mwape,319767/28/8,Town Centre,1200,Commercial,TDR-2008-6760,State Land,2017-10-22,None,"-12.973035,28.646676",Paid
NDL-1721,Chanda Ndalama,286868/33/8,Kansenshi,638,Mixed Use,TDR-2010-6292,Leasehold (99 yrs),2015-07-20,None,"-12.994004,28.664569",Paid
NDL-1722,Angela Mwanza,206875/31/1,Masala,250,Commercial,TDR-2020-9868,Freehold,2013-10-07,None,"-12.965700,28.652742",Paid
NDL-1723,PanAfrican Cement Holdings,726498/21/3,Ndeke,1082,Mixed Use,TDR-2018-3200,State Land,2011-02-17,None,"-12.965665,28.658010",Paid
NDL-1724,Samuel Ndalama,430928/37/3,Kansenshi,1544,Mixed Use,TDR-2018-8513,Leasehold (99 yrs),2021-05-15,None,"-12.980434,28.649064",Paid
NDL-1725,Lubuto Cooperative Holdings,880624/32/1,Chifubu,640,Mixed Use,TDR-2011-4991,Leasehold (65 yrs),2019-09-06,None,"-12.963567,28.643226",Paid
NDL-1726,Peter Mulilo,138871/29/3,Twapia,3000,Industrial,TDR-2018-2619,Leasehold (50 yrs),2007-10-23,None,"-12.977994,28.624752",Paid
NDL-1727,Ruth Kaunda,262000/19/6,Twapia,250,Residential,TDR-2021-8674,Leasehold (65 yrs),2013-04-07,None,"-12.969156,28.634015",Paid
NDL-1728,Copperbelt Logistics Ltd,493654/18/3,Town Centre,300,Commercial,TDR-2007-4766,State Land,2008-08-01,None,"-12.968821,28.649591",Paid
NDL-1729,George Kapasa,970874/43/5,Chipulukusu,1482,Mixed Use,TDR-2008-5008,Freehold,2009-07-23,None,"-12.986291,28.670243",Paid
NDL-1730,Moses Sichone,798166/12/7,Railway Line,1142,Mixed Use,TDR-2016-1037,State Land,2022-03-30,None,"-12.986348,28.629077",Paid
NDL-1731,James Banda,903298/14/6,Northrise,5000,Industrial,TDR-2011-7093,Freehold,2009-09-08,None,"-12.971748,28.667551",Paid
NDL-1732,Chileshe Lungu,137867/48/5,Northrise,20000,Industrial,TDR-2013-5292,State Land,2011-08-02,None,"-12.967767,28.627274",Paid
NDL-1733,Victor Chola,436359/37/3,Chifubu,3000,Agricultural,TDR-2011-7761,State Land,2009-01-24,None,"-12.977401,28.630605",Paid
NDL-1734,Chanda Mwanza,766753/34/1,Kansenshi,1090,Mixed Use,TDR-2008-5975,Leasehold (65 yrs),2013-08-27,Auctioned,"-12.970648,28.645473",Paid
NDL-1735,Samuel Chola,413185/38/7,Kitwe Road,400,Residential,TDR-2009-2328,Leasehold (65 yrs),2023-08-12,None,"-12.983881,28.633252",Paid
NDL-1736,Patricia Tembo,821638/24/9,Industrial Area,300,Commercial,TDR-2023-6214,Leasehold (65 yrs),2006-09-27,None,"-12.994304,28.620262",Arrears
NDL-1737,Mukuka Kaluba,926879/39/6,Railway Line,832,Mixed Use,TDR-2006-1444,Leasehold (50 yrs),2023-08-12,None,"-12.964398,28.623963",Paid
NDL-1738,Nelson Mwanza,610286/28/5,Kansenshi,800,Commercial,TDR-2019-8132,Freehold,2015-01-01,None,"-12.985898,28.641526",Paid
NDL-1739,Grace Chola,601330/26/9,Ndeke,10000,Agricultural,TDR-2005-6572,State Land,2015-04-07,None,"-12.993917,28.655382",Paid
NDL-1740,Rose Chola,611339/43/2,Garden,2000,Industrial,TDR-2007-9565,Leasehold (50 yrs),2018-01-16,None,"-12.988062,28.621240",Paid
NDL-1741,Copperbelt Logistics Holdings,486395/26/6,Masala,3000,Agricultural,TDR-2005-6217,Leasehold (50 yrs),2020-12-16,None,"-12.962467,28.661375",Arrears
NDL-1742,Ndola Minerals Industrial,235862/26/5,Industrial Area,1000,Commercial,TDR-2019-4263,Leasehold (50 yrs),2009-11-30,None,"-12.964569,28.656452",Paid
NDL-1743,Chipo Mwape,611505/15/3,Kabushi,8000,Industrial,TDR-2016-3051,Leasehold (65 yrs),2012-06-14,None,"-12.964935,28.645515",Arrears
NDL-1744,George Phiri,170237/10/2,Ndeke,350,Residential,TDR-2023-3675,Leasehold (50 yrs),2007-07-06,None,"-12.961970,28.632029",Paid
NDL-1745,Central Agro Industrial,480796/41/1,Industrial Area,1500,Agricultural,TDR-2017-8983,Leasehold (99 yrs),2012-07-15,None,"-12.970740,28.645645",Paid
NDL-1746,George Mwanza,696275/33/5,Kitwe Road,10000,Agricultural,TDR-2017-8216,Leasehold (65 yrs),2015-10-02,None,"-12.992639,28.625144",Paid
NDL-1747,Patrick Sitali,170333/28/2,Kabushi,10000,Agricultural,TDR-2023-1196,Leasehold (99 yrs),2023-02-18,None,"-12.995735,28.624791",Paid
NDL-1748,David Ndalama,548031/42/3,Mushili,5000,Industrial,TDR-2009-1638,Freehold,2023-02-18,None,"-12.981683,28.658457",Paid
NDL-1749,Alice Banda,802333/48/3,Twapia,5000,Industrial,TDR-2012-2556,Leasehold (65 yrs),2021-09-06,None,"-12.991252,28.659503",Paid
NDL-1750,Linda Tembo,702989/26/8,Chililabombwe Road,1355,Mixed Use,TDR-2016-6665,Leasehold (99 yrs),2007-12-20,None,"-12.967482,28.659021",Paid
NDL-1751,Mulenga Kapasa,716944/14/2,Masala,600,Residential,TDR-2006-9026,Leasehold (65 yrs),2015-10-29,None,"-12.991300,28.620014",Paid
NDL-1752,Mukuka Zulu,862783/23/5,Lubuto,300,Residential,TDR-2007-3294,Freehold,2020-01-17,Boundary_Dispute,"-12.993832,28.661418",Paid
NDL-1753,Peter Zulu,668804/15/5,Mushili,1782,Mixed Use,TDR-2022-8880,Leasehold (99 yrs),2005-07-10,None,"-12.984451,28.645462",Paid
NDL-1754,Mercy Mulenga,825621/35/9,Kabushi,450,Residential,TDR-2006-3384,Leasehold (50 yrs),2016-08-18,None,"-12.976248,28.642192",Paid
NDL-1755,Samuel Lungu,125935/44/8,Mapalo,5000,Industrial,TDR-2014-2807,Leasehold (65 yrs),2023-07-25,Mortgaged,"-12.960656,28.656077",Paid
NDL-1756,Mulenga Lungu,531795/42/7,Lubuto,948,Mixed Use,TDR-2006-5208,Freehold,2013-01-08,None,"-12.962400,28.636936",Paid
NDL-1757,Memory Chola,511037/50/6,Northrise,800,Residential,TDR-2020-5336,Leasehold (65 yrs),2020-04-06,None,"-12.984767,28.627254",Paid
NDL-1758,Lubuto Cooperative Group,725552/37/6,Town Centre,500,Residential,TDR-2011-3194,Leasehold (99 yrs),2022-06-01,None,"-12.970112,28.660088",Paid
NDL-1759,Lubuto Cooperative Enterprises,243053/23/5,Garden,655,Mixed Use,TDR-2005-4779,State Land,2016-01-17,None,"-12.962091,28.657172",Paid
NDL-1760,David Sitali,895562/37/3,Industrial Area,800,Residential,TDR-2015-7144,Freehold,2017-10-15,Auctioned,"-12.991792,28.621056",Arrears
NDL-1761,Ndola Minerals Holdings,462594/20/7,Mushili,20000,Agricultural,TDR-2010-1217,Leasehold (50 yrs),2022-07-04,None,"-12.987842,28.622884",Paid
NDL-1762,Joseph Ndalama,775588/23/9,Masala,300,Commercial,TDR-2021-7510,Leasehold (50 yrs),2015-03-09,None,"-12.990787,28.666972",Paid
NDL-1763,Simon Mumba,916816/28/3,Railway Line,300,Commercial,TDR-2010-5210,State Land,2015-10-18,None,"-12.981199,28.646471",Paid
NDL-1764,Patrick Mwape,632433/37/6,Town Centre,2000,Agricultural,TDR-2014-7432,Leasehold (99 yrs),2013-01-18,None,"-12.977490,28.656519",Paid
NDL-1765,Chileshe Chola,524974/13/4,Northrise,10000,Industrial,TDR-2020-5657,Leasehold (50 yrs),2010-07-31,None,"-12.971447,28.637125",Paid
NDL-1766,Nelson Sitali,214043/12/2,Chifubu,1500,Commercial,TDR-2009-5213,State Land,2024-04-29,None,"-12.978195,28.663059",Paid
NDL-1767,Mary Banda,738908/12/3,Chifubu,300,Residential,TDR-2013-9637,State Land,2014-05-17,None,"-12.969980,28.650673",Paid
NDL-1768,Nchimunya Mwanza,801433/34/5,Chililabombwe Road,5000,Agricultural,TDR-2022-8860,State Land,2007-10-26,None,"-12.977119,28.636894",Paid
NDL-1769,Nelson Tembo,410604/47/8,Mapalo,379,Mixed Use,TDR-2018-6899,State Land,2024-03-01,None,"-12.982422,28.654607",Paid
NDL-1770,Samuel Zulu,361611/10/7,Industrial Area,5000,Industrial,TDR-2022-7038,Freehold,2010-10-31,None,"-12.982895,28.674046",Paid
NDL-1771,Samuel Ndalama,656173/10/4,Chipulukusu,410,Mixed Use,TDR-2014-3809,Leasehold (65 yrs),2015-05-21,None,"-12.994823,28.669972",Paid
NDL-1772,Chanda Kaunda,769530/35/5,Railway Line,1989,Mixed Use,TDR-2019-4802,Leasehold (99 yrs),2015-05-09,None,"-12.979242,28.673796",Paid
NDL-1773,Victor Chola,511987/20/9,Ndeke,3000,Industrial,TDR-2013-4368,Freehold,2012-06-15,None,"-12.983468,28.631318",Arrears
NDL-1774,Victor Lungu,182644/29/6,Chililabombwe Road,1500,Commercial,TDR-2013-9974,Leasehold (99 yrs),2020-08-23,None,"-12.968735,28.645996",Paid
NDL-1775,UrbanDevelopers Ltd,210304/38/9,Masala,5000,Industrial,TDR-2014-8117,Leasehold (65 yrs),2019-10-11,None,"-12.993104,28.658472",Paid
NDL-1776,Brian Sichone,909572/17/5,Kitwe Road,1109,Mixed Use,TDR-2019-5956,Leasehold (65 yrs),2017-10-10,None,"-12.983990,28.633020",Paid
NDL-1777,Brian Ndalama,805367/34/2,Industrial Area,2000,Agricultural,TDR-2017-8306,Leasehold (50 yrs),2013-05-03,None,"-12.962524,28.642661",Arrears
NDL-1778,GreenFields Industrial,998908/28/5,Twapia,20000,Agricultural,TDR-2016-1242,Freehold,2017-03-07,None,"-12.996501,28.640040",Paid
NDL-1779,Victor Mumba,725563/17/5,Northrise,250,Commercial,TDR-2023-8341,State Land,2015-11-17,Boundary_Dispute,"-12.982957,28.649854",Paid
NDL-1780,Mukuka Mulenga,618123/11/6,Mapalo,563,Mixed Use,TDR-2022-1832,State Land,2008-05-16,None,"-12.980288,28.666123",Paid
NDL-1781,Moses Kaunda,116384/19/5,Industrial Area,1500,Commercial,TDR-2009-6059,Freehold,2006-10-27,None,"-12.976485,28.669093",Arrears
NDL-1782,Nelson Mumba,390440/25/7,Chifubu,1178,Mixed Use,TDR-2023-1639,Leasehold (65 yrs),2021-01-01,None,"-12.987925,28.622751",Paid
NDL-1783,Copperbelt Logistics Co,167093/45/4,Railway Line,20000,Industrial,TDR-2015-3367,Leasehold (50 yrs),2018-01-30,None,"-12.983934,28.660194",Paid
NDL-1784,Nelson Banda,935002/26/8,Chifubu,2000,Industrial,TDR-2019-2140,State Land,2012-08-17,None,"-12.992864,28.650294",Paid
NDL-1785,Beatrice Kaunda,310637/18/1,Northrise,300,Residential,TDR-2024-8881,Leasehold (99 yrs),2019-11-01,None,"-12.962777,28.664102",Arrears
NDL-1786,Mutale Chanda,826175/30/8,Kansenshi,8000,Industrial,TDR-2009-1083,Freehold,2010-07-24,None,"-12.993946,28.663828",Paid
NDL-1787,Mary Zulu,710242/27/9,Chililabombwe Road,2000,Agricultural,TDR-2014-9380,Leasehold (65 yrs),2005-04-02,Mortgaged,"-12.962551,28.651960",Paid
NDL-1788,Esther Banda,879407/15/7,Mapalo,800,Residential,TDR-2019-1145,Leasehold (65 yrs),2023-06-14,None,"-12.973340,28.635776",Paid
NDL-1789,Chileshe Mumba,383179/30/9,Railway Line,700,Residential,TDR-2010-4910,Freehold,2009-07-09,None,"-12.993020,28.669924",Paid
NDL-1790,Nchimunya Chola,731875/30/4,Town Centre,250,Commercial,TDR-2013-7797,Leasehold (50 yrs),2021-07-13,None,"-12.966749,28.667450",Paid
NDL-1791,UrbanDevelopers Enterprises,290238/40/4,Lubuto,20000,Industrial,TDR-2017-4668,State Land,2009-09-20,None,"-12.980846,28.632020",Paid
NDL-1792,Memory Mumba,626746/47/4,Kabushi,814,Mixed Use,TDR-2024-6479,Leasehold (50 yrs),2014-08-09,None,"-12.990156,28.667377",Paid
NDL-1793,Lubuto Cooperative Resources,948580/49/9,Mapalo,1275,Mixed Use,TDR-2016-1552,Freehold,2006-01-15,Auctioned,"-12.974783,28.657661",Arrears
NDL-1794,Mukuka Mwape,345624/15/4,Chifubu,815,Mixed Use,TDR-2013-8223,Freehold,2020-01-16,None,"-12.990402,28.630092",Paid
NDL-1795,ZamBuild Resources,682395/22/8,Mapalo,200,Residential,TDR-2013-8332,Leasehold (65 yrs),2008-02-20,None,"-12.991557,28.655050",Arrears
NDL-1796,Mulenga Mwanza,146622/12/3,Ndeke,3000,Industrial,TDR-2007-8832,Leasehold (99 yrs),2005-06-15,None,"-12.970219,28.658772",Arrears
NDL-1797,Patrick Tembo,425514/49/3,Industrial Area,3000,Agricultural,TDR-2016-3274,State Land,2007-10-19,None,"-12.972007,28.621516",Paid
NDL-1798,Brian Lungu,197567/45/1,Mapalo,400,Residential,TDR-2010-7950,Leasehold (99 yrs),2013-04-11,None,"-12.960880,28.659205",Paid
NDL-1799,Central Agro Ltd,370175/32/1,Northrise,1488,Mixed Use,TDR-2013-1165,Leasehold (50 yrs),2008-10-24,None,"-12.988222,28.624340",Paid
NDL-1800,David Mumba,135446/31/9,Chililabombwe Road,564,Mixed Use,TDR-2020-1191,Leasehold (50 yrs),2013-08-17,None,"-12.995383,28.623496",Paid
NDL-1801,Chibwe Ndalama,343947/13/4,Kitwe Road,10000,Industrial,TDR-2016-1073,Freehold,2014-07-29,None,"-12.967163,28.646966",Paid
NDL-1802,Patrick Tembo,294372/26/9,Mushili,300,Commercial,TDR-2010-6123,Leasehold (65 yrs),2019-07-24,None,"-12.975444,28.631814",Paid
NDL-1803,Victor Kaluba,674762/17/8,Industrial Area,1000,Residential,TDR-2017-7975,Leasehold (65 yrs),2024-01-30,None,"-12.981685,28.628879",Paid
NDL-1804,Joseph Ndalama,935876/31/7,Lubuto,1500,Agricultural,TDR-2017-7311,Leasehold (99 yrs),2019-04-03,None,"-12.996455,28.645650",Paid
NDL-1805,Patrick Mumba,807674/20/6,Chililabombwe Road,20000,Agricultural,TDR-2008-3345,Leasehold (65 yrs),2017-11-02,None,"-12.974015,28.672327",Paid
NDL-1806,Mulenga Sitali,208700/41/3,Kitwe Road,8000,Agricultural,TDR-2016-2377,Leasehold (65 yrs),2022-02-03,None,"-12.980674,28.666766",Paid
NDL-1807,Mercy Lungu,148362/25/5,Chililabombwe Road,10000,Industrial,TDR-2007-1836,Leasehold (99 yrs),2017-07-02,None,"-12.989414,28.670043",Paid
NDL-1808,Beatrice Sichone,368801/50/6,Chililabombwe Road,1898,Mixed Use,TDR-2007-9162,Freehold,2008-09-23,None,"-12.993927,28.620001",Arrears
NDL-1809,Kansenshi Traders Co,455070/28/1,Mapalo,500,Commercial,TDR-2008-6935,Leasehold (50 yrs),2007-08-23,None,"-12.996030,28.645549",Paid
NDL-1810,George Chanda,910325/11/2,Industrial Area,800,Commercial,TDR-2015-4182,Leasehold (99 yrs),2021-03-25,None,"-12.962344,28.667489",Paid
NDL-1811,Beatrice Kaunda,577387/32/1,Twapia,10000,Agricultural,TDR-2018-3857,State Land,2016-03-08,None,"-12.979962,28.628672",Arrears
NDL-1812,Rose Chola,160941/16/8,Chifubu,1844,Mixed Use,TDR-2005-3180,State Land,2020-04-29,None,"-12.969106,28.620767",Paid
NDL-1813,Alice Mwanza,383448/50/9,Mushili,5000,Industrial,TDR-2016-9269,Leasehold (65 yrs),2009-02-02,None,"-12.985716,28.668604",Paid
NDL-1814,Chibwe Sichone,666762/47/1,Garden,1000,Commercial,TDR-2006-1709,Leasehold (50 yrs),2005-06-27,None,"-12.987130,28.652827",Paid
NDL-1815,James Mulilo,333376/23/3,Garden,2000,Agricultural,TDR-2022-4192,Freehold,2019-01-22,None,"-12.965857,28.672094",Paid
NDL-1816,Angela Sitali,962439/28/4,Kitwe Road,800,Residential,TDR-2017-8978,Freehold,2024-08-27,None,"-12.978246,28.651526",Paid
NDL-1817,Kansenshi Traders Resources,545969/29/1,Chifubu,1500,Commercial,TDR-2020-3685,Leasehold (50 yrs),2012-11-11,None,"-12.996272,28.656446",Paid
NDL-1818,Moses Sitali,794324/42/6,Mapalo,350,Residential,TDR-2021-5022,Leasehold (99 yrs),2005-08-06,None,"-12.988374,28.666948",Paid
NDL-1819,Nelson Kaluba,340939/43/3,Industrial Area,300,Residential,TDR-2021-8554,Freehold,2023-01-11,None,"-12.963682,28.653041",Paid
NDL-1820,Copperbelt Logistics Group,661039/34/6,Mushili,2000,Agricultural,TDR-2011-9127,Leasehold (65 yrs),2009-04-24,None,"-12.962410,28.621619",Paid
NDL-1821,Lubuto Cooperative Industrial,505559/49/6,Chifubu,1500,Agricultural,TDR-2006-3241,Leasehold (99 yrs),2024-05-26,None,"-12.979303,28.632267",Paid
NDL-1822,Chipo Tembo,157571/47/5,Kansenshi,400,Commercial,TDR-2011-5900,Leasehold (65 yrs),2005-04-25,None,"-12.969044,28.624373",Paid
NDL-1823,Moses Kaluba,985092/40/4,Lubuto,1763,Mixed Use,TDR-2024-1056,State Land,2006-08-17,None,"-12.992811,28.630241",Arrears
NDL-1824,Ruth Chanda,911102/47/3,Mushili,2000,Industrial,TDR-2012-1157,Leasehold (99 yrs),2018-06-14,Boundary_Dispute,"-12.977687,28.633944",Paid
NDL-1825,Victor Tembo,306585/47/3,Railway Line,1200,Commercial,TDR-2015-7319,Leasehold (50 yrs),2010-02-21,None,"-12.974799,28.626294",Paid
NDL-1826,Central Agro Group,165117/14/4,Kitwe Road,500,Commercial,TDR-2024-3359,State Land,2019-01-30,None,"-12.972308,28.647501",Paid
NDL-1827,Mercy Phiri,922490/32/6,Chililabombwe Road,1500,Commercial,TDR-2024-9696,Freehold,2016-05-18,Caveat,"-12.970681,28.635575",Paid
